"last_name, first_name","player_id","year","batting_avg","slg_percent","on_base_percent","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","hp_to_1b",""
"Gonzalez, Marwin","503556","2015",".279",".442",".317","88.8","11.2",31.4,"10",3.6,5.8,27.1,34.3,67.3,36.9,56,85.3,"4.54",
"Amarista, Alexi","506560","2015",".204",".287",".257","85.6","11.2",29.2,"3",1.1,1.8,24.9,16.2,65.1,32.7,74.2,90.3,"4.4",
"Altuve, Jose","514888","2015",".313",".459",".353","86.1","11.2",31.2,"18",3.1,4.8,23.4,28.6,70.8,34.5,79.2,92.9,"4.11",
"Tejada, Ruben","514913","2015",".261",".350",".338","85","12.5",40.5,"7",2.4,6.1,31.3,23.8,75.2,26.9,62.6,84.5,"4.68",
"Hernandez, Cesar","514917","2015",".272",".348",".339","85.9","6",27.5,"4",1.2,3.4,26.5,26.9,68.1,26.9,50.9,86.9,"4.18",
"Segura, Jean","516416","2015",".257",".336",".281","86.9","4.3",25.4,"6",1.3,3.8,22.5,27.1,70,36.9,70.2,87.1,"4.19",
"Castro, Starlin","516770","2015",".265",".375",".296","86.3","7.1",28.2,"20",4.3,3.9,21.3,28,64.8,32.9,65.4,87.7,"4.41",
"Marte, Starling","516782","2015",".287",".444",".337","87.8","5.5",32.8,"31",6.7,5,23.5,35.1,76,38.7,55.2,82,"4.15",
"Paredes, Jimmy","517370","2015",".275",".416",".310","90.1","8.2",31.9,"14",5.5,7.1,28.7,42.9,77.6,42,49.8,71.6,"4.34",
"Donaldson, Josh","518626","2015",".297",".568",".371","92.5","10.5",31.1,"61",12.2,6.8,21.2,46.5,68.7,23.1,55.7,81.1,"4.51",
"Freeman, Freddie","518692","2015",".276",".471",".370","90.6","14.4",43.4,"36",11.3,7.2,30,44.7,75.9,29.2,64.8,80.7,"4.73",
"Grandal, Yasmani","518735","2015",".234",".403",".353","90.7","11.5",27,"24",9,7.9,19.5,42.3,58.9,22,58.7,84.4,"4.94",
"Heyward, Jason","518792","2015",".293",".439",".359","89.1","4.6",23.9,"13",2.8,4.1,25,34.6,61.2,24,65.2,92.1,"4.36",
"LeMahieu, DJ","518934","2015",".301",".388",".358","90.5","2.9",32.7,"9",1.9,4.5,29.9,40.3,62.5,23.6,68,87.9,"4.61",
"Lucroy, Jonathan","518960","2015",".264",".391",".326","88.8","9.7",36,"13",4.1,5.7,29.3,33.8,56.3,28.8,67.8,92.4,"4.56",
"Moreland, Mitch","519048","2015",".278",".482",".330","91.4","11.5",35.4,"38",10.4,8.2,26.1,45.9,66.9,29.7,56.8,83.2,"4.6",
"Moustakas, Mike","519058","2015",".284",".470",".348","89.4","15.2",30.3,"31",6.4,5,22.6,36.5,64.7,31.3,71.4,89.1,"4.66",
"Norris, Derek","519083","2015",".250",".404",".305","87.1","14",31.4,"9",2.3,6.8,22.9,35.1,62.3,24.5,56.2,86,"4.39",
"Revere, Ben","519184","2015",".306",".377",".342","83.1","5.1",34.9,"0",0,2.1,30,14.6,57.7,28.8,75.1,95.1,"4.21",
"Rizzo, Anthony","519203","2015",".278",".512",".387","88.7","17.3",35.7,"39",8,7.6,24.6,38.3,67.3,31.1,68.5,88.3,"4.61",
"Robinson, Clint","519208","2015",".272",".424",".358","89.9","11.8",33.7,"13",5,5,29.1,35.7,69.9,25.6,67,88.8,"4.65",
"Sogard, Eric","519299","2015",".247",".304",".294","85.5","11.6",32.2,"1",0.3,0.9,29.4,18.7,57.3,24.2,70.8,94,"4.38",
"Souza Jr., Steven","519306","2015",".225",".399",".318","88.9","13.9",27.7,"22",9.5,5.2,20.3,39,67,25.8,45.5,74.8,"4.3",
