"last_name, first_name","player_id","year","pa","home_run","walk","batting_avg","slg_percent","on_base_percent","xba","xslg","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent","hp_to_1b",""
"Goldschmidt, Paul","502671","2015","694","33","118",".321",".570",".435",".279",".558",".405","92","12.9",39.2,12.5,8.7,23.2,1.9,46.3,59.2,20.3,63.9,79.2,25.2,"4.5",
"Altuve, Jose","514888","2015","689","15","33",".313",".459",".353",".262",".382",".307","86.1","11.2",31.2,3.1,4.8,23.4,4.5,28.6,70.8,34.5,79.2,92.9,11.3,"4.11",
"Segura, Jean","516416","2015","584","6","13",".257",".336",".281",".238",".318",".262","86.9","4.3",25.4,1.3,3.8,22.5,3,27.1,70,36.9,70.2,87.1,17.3,"4.19",
"Castro, Starlin","516770","2015","578","11","21",".265",".375",".296",".241",".370",".275","86.3","7.1",28.2,4.3,3.9,21.3,3.3,28,64.8,32.9,65.4,87.7,19.7,"4.41",
"Marte, Starling","516782","2015","633","19","27",".287",".444",".337",".276",".455",".331","87.8","5.5",32.8,6.7,5,23.5,5.4,35.1,76,38.7,55.2,82,26,"4.15",
"Donaldson, Josh","518626","2015","711","41","73",".297",".568",".371",".280",".546",".359","92.5","10.5",31.1,12.2,6.8,21.2,1.6,46.5,68.7,23.1,55.7,81.1,25.3,"4.51",
"Heyward, Jason","518792","2015","608","13","56",".293",".439",".359",".263",".374",".335","89.1","4.6",23.9,2.8,4.1,25,2.6,34.6,61.2,24,65.2,92.1,16.2,"4.36",
"LeMahieu, DJ","518934","2015","620","6","50",".301",".388",".358",".276",".379",".338","90.5","2.9",32.7,1.9,4.5,29.9,1.1,40.3,62.5,23.6,68,87.9,16.4,"4.61",
"Moreland, Mitch","519048","2015","515","23","32",".278",".482",".330",".277",".506",".332","91.4","11.5",35.4,10.4,8.2,26.1,2.2,45.9,66.9,29.7,56.8,83.2,25.7,"4.6",
"Moustakas, Mike","519058","2015","614","22","43",".284",".470",".348",".264",".436",".332","89.4","15.2",30.3,6.4,5,22.6,3.5,36.5,64.7,31.3,71.4,89.1,16.7,"4.66",
"Norris, Derek","519083","2015","557","14","35",".250",".404",".305",".220",".325",".278","87.1","14",31.4,2.3,6.8,22.9,4.2,35.1,62.3,24.5,56.2,86,21.5,"4.39",
"Revere, Ben","519184","2015","634","2","32",".306",".377",".342",".283",".345",".322","83.1","5.1",34.9,0,2.1,30,5.8,14.6,57.7,28.8,75.1,95.1,10.6,"4.21",
"Rizzo, Anthony","519203","2015","701","31","78",".278",".512",".387",".275",".496",".386","88.7","17.3",35.7,8,7.6,24.6,4.1,38.3,67.3,31.1,68.5,88.3,19.2,"4.61",
"Vogt, Stephen","519390","2015","511","18","56",".261",".443",".341",".248",".399",".335","86.9","16.4",33.7,5.6,5.1,27.2,2,30.1,56.9,29,70,88.9,18.5,"4.51",
"Galvis, Freddy","520471","2015","603","7","30",".263",".343",".302",".237",".330",".280","86.1","13.2",33.2,2.1,4.3,24.8,3.2,22.1,64.1,39.6,68.6,86.9,18.9,"4.31",
"Perez, Salvador","521692","2015","553","21","13",".260",".426",".280",".260",".408",".282","87.3","13",32.8,5.3,3.3,24,3.3,32.6,67.7,41.7,70.3,90.1,18,"4.71",
"Forsythe, Logan","523253","2015","615","17","55",".281",".444",".359",".250",".393",".334","88.4","15.4",33.6,3.7,6.2,27.6,2.3,32.2,56.9,22.6,67.5,86.7,18.6,"4.38",
"Flores, Wilmer","527038","2015","510","16","19",".263",".408",".295",".236",".339",".273","86.4","14.6",32.1,1.9,5.4,25,3.8,25.7,66.3,29.3,77.7,88.5,14.3,"4.53",
"Garcia, Avisail","541645","2015","601","13","36",".257",".365",".309",".271",".409",".326","88.5","6.8",34.1,4.8,6.7,26.4,4.1,37.5,79,42.7,53.5,79.4,31.1,"4.38",
"Inciarte, Ender","542255","2015","561","6","26",".303",".408",".338",".258",".335",".300","85.5","6.8",28.8,1.3,2.3,24.7,4,19.9,62.3,34.6,76.5,88.9,11.1,"4.14",
"Burns, Billy","542993","2015","555","5","26",".294",".392",".334",".239",".288",".284","83.2","8.1",26.9,0.5,1.1,25.6,5.2,14.7,79.6,36.9,76,85.6,16.2,"3.99",
"Crawford, Brandon","543063","2015","561","21","39",".256",".462",".321",".262",".484",".330","90.3","8.6",34.2,8.7,8.2,23,3.6,42.9,75.2,32.3,54.1,80.4,27.9,"4.38",
"Giavotella, Johnny","543213","2015","502","4","32",".272",".375",".318",".259",".337",".310","85.8","10",30.1,1,2.7,28.1,1.5,19.6,62.9,26.3,69.4,89.8,14.8,"4.34",
"Gose, Anthony","543238","2015","535","5","45",".254",".367",".321",".224",".309",".295","88.2","6.1",30.4,2.3,3.2,27.5,4.1,30.7,70.7,30.6,50.6,79.3,26.2,"4.2",
"Hosmer, Eric","543333","2015","667","18","61",".297",".459",".363",".289",".466",".359","89.8","6",29.9,7.1,5.7,25.7,3.4,40.8,64.3,31.4,66.5,86.9,20.5,"4.42",
"Kipnis, Jason","543401","2015","641","9","57",".303",".451",".372",".293",".429",".366","89.4","9.2",35.9,2.8,6.8,29.5,2.6,38.5,61.5,25.6,64.4,89.6,16.8,"4.38",
"Lawrie, Brett","543434","2015","602","16","28",".260",".407",".299",".249",".398",".290","90","7.4",30.6,4.7,6.8,23.3,3.1,39.1,62.7,34.9,59.9,81.3,26.3,"4.19",
"Semien, Marcus","543760","2015","601","15","42",".257",".405",".310",".240",".380",".295","87.1","13.6",37.1,4.5,8,24.6,3.3,28.9,61.6,24.1,57.6,84.3,22.4,"4.23",
"Strange-Gordon, Dee","543829","2015","653","4","25",".333",".418",".359",".267",".340",".298","84.5","2.1",28.6,1.1,2.2,24.3,4.5,17,65.6,37,74.4,87.4,13.8,"3.98",
"Wong, Kolten","543939","2015","613","11","36",".262",".386",".321",".260",".367",".324","87.5","11.3",31.9,3,3.2,27.4,3.9,33.8,72.7,32.9,66.3,87.6,19.4,"4.28",
"Gregorius, Didi","544369","2015","578","9","33",".265",".370",".318",".253",".334",".311","85.4","10.4",33.4,1.6,2.9,26.9,4.5,24.5,71.5,34.7,63.4,84.3,22.5,"4.26",
"Trout, Mike","545361","2015","682","41","92",".299",".590",".402",".297",".588",".405","92.9","14",38.9,16.4,7.3,23.7,2.4,48.6,53.7,22.5,63.3,84.7,22,"4.2",
"Herrera, Odubel","546318","2015","537","8","28",".297",".418",".344",".243",".353",".296","88.7","7.5",33.1,3.2,5.1,29.3,2.4,33.9,67.3,35.2,56.4,82.8,24.9,"4.16",
"Harper, Bryce","547180","2015","654","42","124",".330",".649",".460",".292",".544",".433","91.4","14.7",37.1,12.9,7.1,24.4,4.8,47.5,71.3,25.6,55.8,80.8,26.7,"4.34",
"Abreu, Jose","547989","2015","668","30","39",".290",".502",".347",".270",".456",".330","91","9.9",30.4,9.3,5.9,24.5,1.7,41.8,65.8,34.7,60.9,84.3,24.9,"4.77",
